case_id	case_type	event_idx	total_events	event_type	event_date	form_id	confidence	errors	status	elapsed_sec
2025-CP-04821	estate_intestate	1	6	decedent_death_date	2025-01-22	DE-101	1.25	0	ok	556.3
2025-CP-04821	estate_intestate	1	6	decedent_death_date	2025-01-22	DE-605	0.85	0	ok	556.3
2025-CP-04821	estate_intestate	1	6	decedent_death_date	2025-01-22	DE-401	0.85	0	ok	556.3
2025-CP-04821	estate_intestate	1	6	decedent_death_date	2025-01-22	DE-104	0.8	0	ok	556.3
2025-CP-04821	estate_intestate	1	6	decedent_death_date	2025-01-22	AF-102	0.7	0	ok	556.3
2025-CP-04821	estate_intestate	2	6	pr_appointment_date	2025-04-22	DE-502	0.95	0	ok	658.7
2025-CP-04821	estate_intestate	2	6	pr_appointment_date	2025-04-22	DE-405	0.8	0	ok	658.7
2025-CP-04821	estate_intestate	2	6	pr_appointment_date	2025-04-22	N-106	0.7	0	ok	658.7
2025-CP-04821	estate_intestate	2	6	pr_appointment_date	2025-04-22	N-105	0.7	0	ok	658.7
2025-CP-04821	estate_intestate	3	6	claim_filing_date	2025-05-22	DE-503	0.95	0	ok	136.6
2025-CP-04821	estate_intestate	4	6	claim_disallowance_notice_date	2025-06-21	DE-504	0.85	0	ok	181.9
2025-CP-04821	estate_intestate	4	6	claim_disallowance_notice_date	2025-06-21	PP-409	0.85	0	ok	181.9
2025-CP-04821	estate_intestate	5	6	appointment_anniversary	2026-01-22	DE-406	0.8	0	ok	144.1
2025-CP-04821	estate_intestate	6	6	final_distribution_date	2027-01-22	DE-507	0.95	0	ok	766.2
2025-CP-04821	estate_intestate	6	6	final_distribution_date	2027-01-22	DE-603	0.9	0	ok	766.2
2025-CP-04821	estate_intestate	6	6	final_distribution_date	2027-01-22	DE-601	0.85	0	ok	766.2
2025-CP-04821	estate_intestate	6	6	final_distribution_date	2027-01-22	DE-602	0.85	0	ok	766.2
2025-CP-04821	estate_intestate	6	6	final_distribution_date	2027-01-22	DE-406	0.8	0	ok	766.2
C-2024-01852	estate_testate	1	7	decedent_death_date	2024-10-18	DE-101	0.95	0	ok	899.0
C-2024-01852	estate_testate	1	7	decedent_death_date	2024-10-18	DE-201	0.95	0	ok	899.0
C-2024-01852	estate_testate	1	7	decedent_death_date	2024-10-18	DE-605	0.85	0	ok	899.0
C-2024-01852	estate_testate	1	7	decedent_death_date	2024-10-18	DE-401	0.85	0	ok	899.0
C-2024-01852	estate_testate	1	7	decedent_death_date	2024-10-18	DE-104	0.8	0	ok	899.0
C-2024-01852	estate_testate	2	7	will_admission_date	2024-11-01	DE-505	0.85	0	ok	91.4
C-2024-01852	estate_testate	3	7	pr_appointment_date	2025-01-16	DE-502	0.95	0	ok	577.2
C-2024-01852	estate_testate	3	7	pr_appointment_date	2025-01-16	DE-405	0.8	0	ok	577.2
C-2024-01852	estate_testate	3	7	pr_appointment_date	2025-01-16	N-106	0.7	0	ok	577.2
C-2024-01852	estate_testate	3	7	pr_appointment_date	2025-01-16	N-105	0.7	0	ok	577.2
C-2024-01852	estate_testate	4	7	claim_filing_date	2025-02-15	DE-503	0.95	0	ok	165.0
C-2024-01852	estate_testate	5	7	claim_disallowance_notice_date	2025-03-17	DE-504	0.85	0	ok	207.2
C-2024-01852	estate_testate	5	7	claim_disallowance_notice_date	2025-03-17	PP-409	0.85	0	ok	207.2
C-2024-01852	estate_testate	6	7	appointment_anniversary	2025-10-18	DE-406	0.8	0	ok	140.3
C-2024-01852	estate_testate	7	7	final_distribution_date	2026-10-18	DE-507	0.95	0	ok	755.9
C-2024-01852	estate_testate	7	7	final_distribution_date	2026-10-18	DE-603	0.9	0	ok	755.9
C-2024-01852	estate_testate	7	7	final_distribution_date	2026-10-18	DE-601	0.85	0	ok	755.9
C-2024-01852	estate_testate	7	7	final_distribution_date	2026-10-18	DE-602	0.85	0	ok	755.9
C-2024-01852	estate_testate	7	7	final_distribution_date	2026-10-18	DE-406	0.8	0	ok	755.9
D2024-00915	conservatorship	1	5	petition_filing_date	2024-08-12	PP-505	0.6	0	ok	64.2
D2024-00915	conservatorship	2	5	hearing_date	2024-09-02	N-117	0.5	0	ok	71.8
D2024-00915	conservatorship	3	5	appointment_order_date	2024-09-09	PP-402	1.25	0	ok	148.0
D2024-00915	conservatorship	3	5	appointment_order_date	2024-09-09	N-112	0.7	0	ok	148.0
D2024-00915	conservatorship	4	5	appointment_anniversary	2025-08-12	PP-407	1.05	0	ok	289.1
D2024-00915	conservatorship	4	5	appointment_anniversary	2025-08-12	PP-412	0.95	0	ok	289.1
D2024-00915	conservatorship	5	5	appointment_anniversary	2026-08-12	PP-412	1.25	0	ok	342.0
D2024-00915	conservatorship	5	5	appointment_anniversary	2026-08-12	PP-407	0.85	0	ok	342.0
MPR-2024-0828-ES	estate_intestate	1	4	decedent_death_date	2024-11-15	DE-101	1.25	0	ok	528.4
MPR-2024-0828-ES	estate_intestate	1	4	decedent_death_date	2024-11-15	DE-605	0.85	0	ok	528.4
MPR-2024-0828-ES	estate_intestate	1	4	decedent_death_date	2024-11-15	DE-401	0.85	0	ok	528.4
MPR-2024-0828-ES	estate_intestate	1	4	decedent_death_date	2024-11-15	DE-104	0.8	0	ok	528.4
MPR-2024-0828-ES	estate_intestate	1	4	decedent_death_date	2024-11-15	AF-102	0.7	0	ok	528.4
MPR-2024-0828-ES	estate_intestate	2	4	pr_appointment_date	2025-02-13	DE-502	0.9	0	ok	540.2
MPR-2024-0828-ES	estate_intestate	2	4	pr_appointment_date	2025-02-13	DE-405	0.8	0	ok	540.2
MPR-2024-0828-ES	estate_intestate	2	4	pr_appointment_date	2025-02-13	N-106	0.7	0	ok	540.2
MPR-2024-0828-ES	estate_intestate	2	4	pr_appointment_date	2025-02-13	N-105	0.7	0	ok	540.2
MPR-2024-0828-ES	estate_intestate	3	4	appointment_anniversary	2025-11-15	DE-406	0.75	0	ok	162.0
MPR-2024-0828-ES	estate_intestate	4	4	final_distribution_date	2026-11-15	DE-507	0.95	0	ok	771.0
MPR-2024-0828-ES	estate_intestate	4	4	final_distribution_date	2026-11-15	DE-603	0.9	0	ok	771.0
MPR-2024-0828-ES	estate_intestate	4	4	final_distribution_date	2026-11-15	DE-602	0.85	0	ok	771.0
MPR-2024-0828-ES	estate_intestate	4	4	final_distribution_date	2026-11-15	DE-601	0.8	0	ok	771.0
MPR-2024-0828-ES	estate_intestate	4	4	final_distribution_date	2026-11-15	DE-406	0.75	0	ok	771.0
PR-2024-000892	estate_testate	1	7	decedent_death_date	2024-09-15	DE-201	1.25	0	ok	781.6
PR-2024-000892	estate_testate	1	7	decedent_death_date	2024-09-15	DE-605	0.85	0	ok	781.6
PR-2024-000892	estate_testate	1	7	decedent_death_date	2024-09-15	DE-401	0.85	0	ok	781.6
PR-2024-000892	estate_testate	1	7	decedent_death_date	2024-09-15	DE-104	0.8	0	ok	781.6
PR-2024-000892	estate_testate	1	7	decedent_death_date	2024-09-15	AF-102	0.7	0	ok	781.6
PR-2024-000892	estate_testate	2	7	will_admission_date	2024-09-29	DE-505	0.85	0	ok	91.7
PR-2024-000892	estate_testate	3	7	pr_appointment_date	2024-12-14	DE-502	0.95	0	ok	598.1
PR-2024-000892	estate_testate	3	7	pr_appointment_date	2024-12-14	DE-405	0.8	0	ok	598.1
PR-2024-000892	estate_testate	3	7	pr_appointment_date	2024-12-14	N-106	0.7	0	ok	598.1
PR-2024-000892	estate_testate	3	7	pr_appointment_date	2024-12-14	N-105	0.7	0	ok	598.1
PR-2024-000892	estate_testate	4	7	claim_filing_date	2025-01-13	DE-503	0.9	0	ok	187.7
PR-2024-000892	estate_testate	5	7	claim_disallowance_notice_date	2025-02-12	DE-504	0.85	0	ok	225.0
PR-2024-000892	estate_testate	5	7	claim_disallowance_notice_date	2025-02-12	PP-409	0.85	0	ok	225.0
PR-2024-000892	estate_testate	6	7	appointment_anniversary	2025-09-15	DE-406	0.8	0	ok	171.9
PR-2024-000892	estate_testate	7	7	final_distribution_date	2026-09-15	DE-507	0.95	0	ok	740.6
PR-2024-000892	estate_testate	7	7	final_distribution_date	2026-09-15	DE-603	0.9	0	ok	740.6
PR-2024-000892	estate_testate	7	7	final_distribution_date	2026-09-15	DE-601	0.85	0	ok	740.6
PR-2024-000892	estate_testate	7	7	final_distribution_date	2026-09-15	DE-602	0.85	0	ok	740.6
PR-2024-000892	estate_testate	7	7	final_distribution_date	2026-09-15	DE-406	0.8	0	ok	740.6
